case:concept:name;concept:name;concept:flops;concept:kernel;concept:operation;timestamp:start
algorithm0;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-23 11:45:43.044360
algorithm53;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:13:56.044360
algorithm53;trsv_1e+06;1e+06;trsv!('L', 'N', 'N', ml1, ml2);tmp68 = (L2^-1 y);2022-12-23 13:13:57.044360
algorithm53;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:13:58.044360
algorithm53;gemm_2e+07;2e+07;gemm!('T', 'N', 1.0, ml0, ml0, 0.0, ml3);tmp14 = (tmp12^T tmp12);2022-12-23 13:13:59.044360
algorithm53;LAPACK.potrf_3.33e+05;3.33e+05;LAPACK.potrf!('L', ml3);(L15 L15^T) = tmp14;2022-12-23 13:14:00.044360
algorithm53;gemv_2e+05;2e+05;gemv!('T', 1.0, ml0, ml2, 0.0, ml4);tmp21 = (tmp12^T tmp68);2022-12-23 13:14:01.044360
algorithm53;trsv_1e+04;1e+04;trsv!('L', 'N', 'N', ml3, ml4);tmp23 = (L15^-1 tmp21);2022-12-23 13:14:02.044360
algorithm53;trsv_1e+04;1e+04;trsv!('L', 'T', 'N', ml3, ml4);tmp24 = (L15^-T tmp23);2022-12-23 13:14:03.044360
algorithm46;transpose_1;1;transpose!(ml3, ml0);tmp56 = X^T;2022-12-23 13:02:16.044360
algorithm46;LAPACK.potrf_3.33e+08;3.33e+08;LAPACK.potrf!('L', ml1);(L2 L2^T) = M;2022-12-23 13:02:17.044360
algorithm46;trsm_1e+08;1e+08;trsm!('L', 'L', 'N', 'N', 1.0, ml1, ml0);tmp12 = (L2^-1 X);2022-12-23 13:02:18.044360
